centro,nombre,unidadNegocio_B_auto,departamento_A_COMPLETAR
100101,Presidencia Ejecutiva,1001,
100201,Dirección General,1002,
100302,Finanzas,1003,
100303,Análisis y Planificación Financiera,1003,
100307,Gestión Administrativa,1003,
100401,Gerencia TI,1004,
100402,Infraestructura y Soporte,1004,
100403,Desarrollo de Sistemas,1004,
100404,Seguridad de la Información,1004,
100501,Dirección de Cultura y Talento,1005,
100502,Desarrollo Organizacional,1005,
100601,Dirección de Logística y Operaciones,1006,
100602,Almacén,1006,
100603,Compras,1006,
100605,Transportes,1006,
100607,Servicios Generales,1006,
100701,Dirección Comercial,1007,
100702,Contratación Administrativa,1007,
100703,ePMO,1007,
102007,Gestión Administrativa,1020,
200101,Gerencia de Terapias Especializadas,2001,
200102,Cuidado Crítico,2001,
200103,Cuidado Crónico,2001,
200104,Nefrología,2001,
200201,Gerencia de Especialidades Quirúrgicas,2002,
200202,Terapias Quirúrgicas,2002,
200203,Ortopedia,2002,
200301,Salud Cardiovascular,2003,
200404,Cuidado y Bienestar,2004,
200502,Diagnóstico y Tecnologías de Soporte,2005,
200601,Servicio Técnico Ventas,2006,
201001,Comercial Farmacia,2010,
300101,Dirección de Mercadeo,3001,
300102,Academia NTC,3001,
300103,Experiencia del cliente,3001,
300104,MKT,3001,
400101,Unidad Administración Integral de Riesgos UAIR,4001,
400102,Cumplimiento,4001,
400103,Calidad,4001,
400104,Asuntos Regulatorios,4001,
400105,Auditoría interna,4001,
400106,Salud Ocupacional,4001,
400107,Sostenibilidad,4001,
500101,ST Administrativo,5001,
